Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Author,SCEM,HelpURL,Status,ComponentLink1Description,SMD,ComponentLink2Description,Footprint Ref,Footprint Path,ComponentLink1URL,Manufacturer Part Number,Component Type,Mounted,ComponentHeight,Case,Socket,License,Part Description,Sense Comment,CreateDate,Manufacturer1 Part Number,Library Path,Pole4,Component Kind,Pin Count,Comment,Part Number,Library Name,Manufacturer1 ComponentHeight,Family,Status Comment,Library Ref,Manufacturer1 Example,ComponentLink2URL,LatestRevisionDate,Sense,Manufacturer,PackageDescription,PN,Val,Tolerance,PressFit,TC,Voltage,~,Device,Power,Bonding,Resistance,Color,Mouser Price/Stock,Mouser Part Number,Manufacturer_Name,Allied_Number,Height,RS Price/Stock,RS Part Number,Allied Price/Stock,Manufacturer_Part_Number,Field1
11,,CC0402_100PF_50V_5%_C0G,C102,CC0402_100PF_50V_5%_C0G,CAPC1005X55N,1,\\cern.ch\dfs\Applications\Altium\Datasheets\CC0805_C0G_KEMET_(Commercial Grade).pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\CC0805_C0G_KEMET_(Commercial Grade).pdf,Preferred,,Yes,,CAPC1005X55N,PcbLib\Capacitors SMD.PcbLib,,CC0402_100PF_50V_5%_C0G,Standard,Yes,~~,0402,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",SMD Multilayer Chip Ceramic Capacitor,~~,12/03/07 00:00:00,C0402C101J5GACTU,SchLib\Capacitors.SchLib,,Standard,2.0000000000000000e+00,=Value,CC0402_100PF_50V_5%_C0G,Capacitors SMD,0.55mm,,~~,Capacitor - non polarized,KEMET,,04/22/15 00:00:00,No,GENERIC,~~,,100pF,±5%,~~,C0G/NP0,50V,100pF,,,,,,,,,,,,,,,
12,,CC0402_10NF_16V_10%_X7R,C107,CC0402_10NF_16V_10%_X7R,CAPC1005X55N,1,\\cern.ch\dfs\Applications\Altium\Datasheets\CC0402_X7R_PHYCOMP.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\CC0402_X7R_PHYCOMP.pdf,Not Recommended,,Yes,,CAPC1005X55N,PcbLib\Capacitors SMD.PcbLib,,CC0402_10NF_16V_10%_X7R,Standard,Yes,~~,0402,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",SMD Multilayer Chip Ceramic Capacitor,~~,12/03/07 00:00:00,223878715636,SchLib\Capacitors.SchLib,,Standard,2.0000000000000000e+00,=Value,CC0402_10NF_16V_10%_X7R,Capacitors SMD,0.55mm,,~~,Capacitor - non polarized,PHYCOMP,,12/03/07 00:00:00,No,GENERIC,~~,,10nF,±10%,~~,X7R,16V,10nF,,,,,,,,,,,,,,,
13,,CC0402_1NF_50V_10%_X7R,C188 C189,CC0402_1NF_50V_10%_X7R,CAPC1005X55N,2,\\cern.ch\dfs\Applications\Altium\Datasheets\CC0402_X7R_PHYCOMP.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\CC0402_X7R_PHYCOMP.pdf,Not Recommended,,Yes,,CAPC1005X55N,PcbLib\Capacitors SMD.PcbLib,,CC0402_1NF_50V_10%_X7R,Standard,Yes,~~,0402,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",SMD Multilayer Chip Ceramic Capacitor,~~,12/03/07 00:00:00,223858715623,SchLib\Capacitors.SchLib,,Standard,2.0000000000000000e+00,=Value,CC0402_1NF_50V_10%_X7R,Capacitors SMD,0.55mm,,~~,Capacitor - non polarized,PHYCOMP,,12/03/07 00:00:00,No,GENERIC,~~,,1nF,±10%,~~,X7R,50V,1nF,,,,,,,,,,,,,,,
14,,CC0402_1UF_16V_10%_X5R,C29 C31 C36 C71 C73 C81 C83 C85 C95 C97 C123,CC0402_1UF_16V_10%_X5R,CAPC1005X55N,11,\\cern.ch\dfs\Applications\Altium\Datasheets\CC0402_X5R_TDK_C.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\CC0402_X5R_TDK_C.pdf,Preferred,,Yes,,CAPC1005X55N,PcbLib\Capacitors SMD.PcbLib,,CC0402_1UF_16V_10%_X5R,Standard,Yes,~~,0402,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",SMD Multilayer Chip Ceramic Capacitor,~~,10/25/12 00:00:00,C1005X5R1C105KT,SchLib\Capacitors.SchLib,,Standard,2.0000000000000000e+00,=Value,CC0402_1UF_16V_10%_X5R,Capacitors SMD,0.55mm,,~~,Capacitor - non polarized,TDK,,10/25/12 00:00:00,No,GENERIC,~~,,1uF,±10%,~~,X5R,16V,1uF,,,,,,,,,,,,,,,
15,,CC0402_2.2NF_50V_10%_X7R,C138,CC0402_2.2NF_50V_10%_X7R,CAPC1005X55N,1,\\cern.ch\dfs\Applications\Altium\Datasheets\CC0402_X7R_PHYCOMP.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\CC0402_X7R_PHYCOMP.pdf,Not Recommended,,Yes,,CAPC1005X55N,PcbLib\Capacitors SMD.PcbLib,,CC0402_2.2NF_50V_10%_X7R,Standard,Yes,~~,0402,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",SMD Multilayer Chip Ceramic Capacitor,~~,12/03/07 00:00:00,223858715627,SchLib\Capacitors.SchLib,,Standard,2.0000000000000000e+00,=Value,CC0402_2.2NF_50V_10%_X7R,Capacitors SMD,0.55mm,,~~,Capacitor - non polarized,PHYCOMP,,12/03/07 00:00:00,No,GENERIC,~~,,2.2nF,±10%,~~,X7R,50V,2.2nF,,,,,,,,,,,,,,,
16,,CC0402_22PF_50V_5%_C0G,C92 C93 C165 C171,CC0402_22PF_50V_5%_C0G,CAPC1005X55N,4,\\cern.ch\dfs\Applications\Altium\Datasheets\CC0805_C0G_KEMET_(Commercial Grade).pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\CC0805_C0G_KEMET_(Commercial Grade).pdf,Preferred,,Yes,,CAPC1005X55N,PcbLib\Capacitors SMD.PcbLib,,CC0402_22PF_50V_5%_C0G,Standard,Yes,~~,0402,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",SMD Multilayer Chip Ceramic Capacitor,~~,12/03/07 00:00:00,C0402C220J5GACTU,SchLib\Capacitors.SchLib,,Standard,2.0000000000000000e+00,=Value,CC0402_22PF_50V_5%_C0G,Capacitors SMD,0.55mm,,~~,Capacitor - non polarized,KEMET,,12/03/07 00:00:00,No,GENERIC,~~,,22pF,±5%,~~,C0G/NP0,50V,22pF,,,,,,,,,,,,,,,
17,,CC0603_10UF_6.3V_20%_X5R,C12,CC0603_10UF_6.3V_20%_X5R,CAPC1608X87N,1,\\cern.ch\dfs\Applications\Altium\Datasheets\CC0603_X5R_KEMET.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\CC0603_X5R_KEMET.pdf,Preferred,,Yes,,CAPC1608X87N,PcbLib\Capacitors SMD.PcbLib,,CC0603_10uF_6.3V_20%_X5R,Standard,Yes,~~,0603,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",SMD Multilayer Chip Ceramic Capacitor,~~,12/03/07 00:00:00,C0603C106M9PAC,SchLib\Capacitors.SchLib,,Standard,2.0000000000000000e+00,=Value,CC0603_10UF_6.3V_20%_X5R,Capacitors SMD,0.95mm,,~~,Capacitor - non polarized,KEMET,,12/03/07 00:00:00,No,GENERIC,~~,,10uF,±20%,~~,X5R,6.3V,10uF,,,,,,,,,,,,,,,
18,,CC0603_10UF_6.3V_20%_X5R,C13 C30 C33 C42 C47 C68 C69 C72 C75 C84 C87 C96 C99,CC0603_10UF_6.3V_20%_X5R,CAPC1608X87N,13,\\cern.ch\dfs\Applications\Altium\Datasheets\CC0603_X5R_KEMET.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\CC0603_X5R_KEMET.pdf,Preferred,,Yes,,CAPC1608X87N,PcbLib\Capacitors SMD.PcbLib,,CC0603_10uF_6.3V_20%_X5R,Standard,Yes,~~,0603,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",SMD Multilayer Chip Ceramic Capacitor,~~,12/03/07 00:00:00,C0603C106M9PAC,SchLib\Capacitors.SchLib,,Standard,2.0000000000000000e+00,=Value,CC0603_10UF_6.3V_20%_X5R,Capacitors SMD,0.95mm,,~~,Capacitor - non polarized,KEMET,,12/03/07 00:00:00,No,GENERIC,~~,,10uF,±20%,~~,X5R,6.3V,10uF,,,,,,,,,,,,,,,
19,,CC0603_22UF_6.3V_20%_X5R,C1 C106 C111 C113 C118 C119 C120 C121 C132 C145 C146 C172 C222 C225 C280 C281 C282 C283,CC0603_22UF_6.3V_20%_X5R,CAPC1709X100N,18,\\cern.ch\dfs\Applications\Altium\Datasheets\CC0603_X5R_TDK_C.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\CC0603_X5R_TDK_C.pdf,None,,Yes,,CAPC1709X100N,PcbLib\Capacitors SMD.PcbLib,,CC0603_22UF_6.3V_20%_X5R,Standard,Yes,~~,0603,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",SMD Multilayer Chip Ceramic Capacitor,~~,12/16/13 00:00:00,C1608X5R0J226M080AC,SchLib\Capacitors.SchLib,,Standard,2.0000000000000000e+00,=Value,CC0603_22UF_6.3V_20%_X5R,Capacitors SMD,1mm,,~~,Capacitor - non polarized,TDK,,09/13/16 00:00:00,No,GENERIC,~~,,22uF,±20%,~~,X5R,6.3V,22uF,,,,,,,,,,,,,,,
20,,CC0603_4.7UF_16V_10%_X5R,C57 C105 C127 C129 C139 C142 C143 C144 C159 C161 C162 C167 C168 C173 C195 C331 C343 C344 C347 C348 C349 C360 C361,CC0603_4.7UF_16V_10%_X5R,CAPC1709X95N,23,\\cern.ch\dfs\Applications\Altium\Datasheets\CC0603_X7R_TAIYO-YUDEN_HIGH-VALUE.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\CC0603_X7R_TAIYO-YUDEN_HIGH-VALUE.pdf,None,,Yes,,CAPC1709X95N,PcbLib\Capacitors SMD.PcbLib,,CC0603_4.7UF_16V_10%_X5R,Standard,Yes,~~,0603,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",SMD Multilayer Chip Ceramic Capacitor,~~,12/16/13 00:00:00,EMK107ABJ475KA-T,SchLib\Capacitors.SchLib,,Standard,2.0000000000000000e+00,=Value,CC0603_4.7UF_16V_10%_X5R,Capacitors SMD,0.95mm,,~~,Capacitor - non polarized,TAIYO YUDEN,,09/16/14 00:00:00,No,GENERIC,~~,,4.7uF,±10%,~~,X5R,16V,4.7uF,,,,,,,,,,,,,,,
21,,CC0805_22UF_16V_10%_X5R,C151 C153 C155 C157,CC0805_22UF_16V_10%_X5R,CAPC2012X135N,4,\\cern.ch\dfs\Applications\Altium\Datasheets\CC0805_X5R_TDK_C.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\CC0805_X5R_TDK_C.pdf,Preferred,,Yes,,CAPC2012X135N,PcbLib\Capacitors SMD.PcbLib,,CC0805_22UF_16V_10%_X5R,Standard,Yes,~~,0805,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",SMD Multilayer Chip Ceramic Capacitor,~~,10/25/12 00:00:00,C2012X5R1C226KT,SchLib\Capacitors.SchLib,,Standard,2.0000000000000000e+00,=Value,CC0805_22UF_16V_10%_X5R,Capacitors SMD,1.35mm,,~~,Capacitor - non polarized,TDK,,10/25/12 00:00:00,No,GENERIC,~~,,22uF,±10%,~~,X5R,16V,22uF,,,,,,,,,,,,,,,
22,,CC0805_4.7UF_10V_10%_X5R,C103 C104 C233 C235 C237 C240 C241 C242 C243 C252 C253 C254 C255 C268 C270 C272 C274 C276 C278 C284 C285 C286 C287,CC0805_4.7UF_10V_10%_X5R,CAPC2012X135N,23,\\cern.ch\dfs\Applications\Altium\Datasheets\CC0805_X5R_PHYCOMP_HC.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\CC0805_X5R_PHYCOMP_HC.pdf,Preferred,,Yes,,CAPC2012X135N,PcbLib\Capacitors SMD.PcbLib,,CC0805_4.7UF_10V_10%_X5R,Standard,Yes,~~,0805,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",SMD Multilayer Chip Ceramic Capacitor,~~,12/03/07 00:00:00,222224013672,SchLib\Capacitors.SchLib,,Standard,2.0000000000000000e+00,=Value,CC0805_4.7UF_10V_10%_X5R,Capacitors SMD,1.45mm,,~~,Capacitor - non polarized,PHYCOMP,,12/03/07 00:00:00,No,GENERIC,~~,,4.7uF,±10%,~~,X5R,10V,4.7uF,,,,,,,,,,,,,,,
23,,CC0805_47UF_6.3V_20%_X5R,C152 C154 C156 C158 C160 C194 C330 C340 C341 C345 C346,CC0805_47UF_6.3V_20%_X5R,CAPC2012X140N,11,\\cern.ch\dfs\Applications\Altium\Datasheets\CC0805_X5R_KEMET.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\CC0805_X5R_KEMET.pdf,Preferred,,Yes,,CAPC2012X140N,PcbLib\Capacitors SMD.PcbLib,,CC0805_47UF_6.3V_20%_X5R,Standard,Yes,~~,0805,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",SMD Multilayer Chip Ceramic Capacitor,~~,10/16/12 00:00:00,C0805C476M9PACTU,SchLib\Capacitors.SchLib,,Standard,2.0000000000000000e+00,=Value,CC0805_47UF_6.3V_20%_X5R,Capacitors SMD,1.4mm,,~~,Capacitor - non polarized,KEMET,,10/16/12 00:00:00,No,GENERIC,~~,,47uF,±20%,~~,X5R,6.3V,47uF,,,,,,,,,,,,,,,
24,,CC1206_10UF_16V_10%_X7R,C6 C62,CC1206_10UF_16V_10%_X7R,CAPC3216X140N,2,\\cern.ch\dfs\Applications\Altium\Datasheets\CC1206_X7R_KEMET.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\CC1206_X7R_KEMET.pdf,Preferred,,Yes,,CAPC3216X140N,PcbLib\Capacitors SMD.PcbLib,,CC1206_10uF_16V_10%_X7R,Standard,Yes,~~,1206,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",SMD Multilayer Chip Ceramic Capacitor,~~,04/28/09 00:00:00,C1206C106K4RAC,SchLib\Capacitors.SchLib,,Standard,2.0000000000000000e+00,=Value,CC1206_10UF_16V_10%_X7R,Capacitors SMD,1.8mm,,~~,Capacitor - non polarized,KEMET,,04/28/09 00:00:00,No,GENERIC,~~,,10uF,±10%,~~,X7R,16V,10uF,,,,,,,,,,,,,,,
25,,CC1206_47UF_25V_20%_X5R,C141,CC1206_47UF_25V_20%_X5R,CAPC3216X180N,1,\\cern.ch\dfs\Applications\Altium\Datasheets\CC1206_X5R_TDK_C.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\CC1206_X5R_TDK_C.pdf,None,,Yes,,CAPC3216X180N,PcbLib\Capacitors SMD.PcbLib,,CC1206_47UF_25V_20%_X5R,Standard,Yes,~~,1206,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",SMD Multilayer Chip Ceramic Capacitor,~~,11/20/13 00:00:00,C3216X5R1E476M160AC,SchLib\Capacitors.SchLib,,Standard,2.0000000000000000e+00,=Value,CC1206_47UF_25V_20%_X5R,Capacitors SMD,1.8mm,,~~,Capacitor - non polarized,TDK,,03/14/17 00:00:00,No,GENERIC,~~,,47uF,±20%,~~,X5R,25V,47uF,,,,,,,,,,,,,,,
